pc_t_s,esp_ts_us,dt_s,encoder_count,theta_counts,theta_rad,theta_dot_rad_s,position_steps,cart_vel_steps_s,command_speed_hz,applied_speed_hz,applied_acc,limit,fault,enabled,soft_limit,start,mode,stop_reason
0.000109,9493001,0.000000,3994,-7,-0.00549779,0.00000000,0,0.000,-879.646,0.000,190000,0,0,0,0,1,balance,
0.000689,9502998,0.009997,3994,-7,-0.00549779,0.00000000,0,0.000,-879.646,0.000,190000,0,0,1,0,1,balance,
0.001340,9512998,0.010000,3993,-8,-0.00628319,-0.01178097,0,0.000,-1146.681,0.000,190000,0,0,1,0,1,balance,
0.030682,9522998,0.010000,3993,-8,-0.00628319,-0.01001383,0,0.000,-1125.476,0.000,190000,0,0,1,0,1,balance,
0.030805,9536998,0.014000,3992,-9,-0.00706858,-0.01692673,-1,-71.429,-1334.094,-758.670,190000,0,0,1,0,1,balance,
0.031501,9546998,0.010000,3992,-9,-0.00706858,-0.01438772,-12,-1100.000,-1303.626,-1146.681,190000,0,0,1,0,1,balance,
0.061767,9556998,0.010000,3992,-9,-0.00706858,-0.01222956,-24,-1200.000,-1277.728,-1146.681,190000,0,0,1,0,1,balance,
0.061891,9566998,0.010000,3991,-10,-0.00785398,-0.02217610,-35,-1100.000,-1522.750,-1303.626,190000,0,0,1,0,1,balance,
0.062569,9576998,0.010000,3991,-10,-0.00785398,-0.01884969,-48,-1300.000,-1482.833,-1303.626,190000,0,0,1,0,1,balance,
0.092744,9586998,0.010000,3991,-10,-0.00785398,-0.01602223,-61,-1300.000,-1448.904,-1303.626,190000,0,0,1,0,1,balance,
0.092866,9598001,0.011003,3991,-10,-0.00785398,-0.01361890,-77,-1454.149,-1420.064,-1482.833,190000,0,0,1,0,1,balance,
0.093550,9608001,0.010000,3991,-10,-0.00785398,-0.01157606,-91,-1400.000,-1395.550,-1482.833,190000,0,0,1,0,1,balance,
0.123377,9618001,0.010000,3990,-11,-0.00863938,-0.02162063,-106,-1500.000,-1641.748,-1482.833,190000,0,0,1,0,1,balance,
0.123479,9628998,0.010997,3988,-13,-0.01021018,-0.03980333,-122,-1454.942,-2111.268,-1395.550,190000,0,0,1,0,1,balance,
0.124196,9638998,0.010000,3987,-14,-0.01099557,-0.04561380,-136,-1400.000,-2306.657,-1395.550,190000,0,0,1,0,1,balance,
0.153959,9648998,0.010000,3987,-14,-0.01099557,-0.03877173,-150,-1400.000,-2224.553,-1395.550,190000,0,0,1,0,1,balance,
0.154089,9658998,0.010000,3986,-15,-0.01178097,-0.04473694,-167,-1700.000,-2421.799,-2306.657,190000,0,0,1,0,1,balance,
0.154764,9668998,0.010000,3985,-16,-0.01256637,-0.04980737,-190,-2300.000,-2608.308,-2306.657,190000,0,0,1,0,1,balance,
0.184445,9678998,0.010000,3984,-17,-0.01335177,-0.05411724,-213,-2300.000,-2785.690,-2306.657,190000,0,0,1,0,1,balance,
0.184559,9690001,0.011003,3982,-19,-0.01492257,-0.06741376,-239,-2362.992,-3000.000,-2608.308,190000,0,0,1,0,1,balance,
0.185242,9700001,0.010000,3981,-20,-0.01570796,-0.06908267,-265,-2600.000,-3000.000,-2608.308,190000,0,0,1,0,1,balance,
0.214919,9710001,0.010000,3979,-22,-0.01727876,-0.08228222,-291,-2600.000,-3000.000,-2608.308,190000,0,0,1,0,1,balance,
