pc_t_s,esp_ts_us,dt_s,encoder_count,theta_counts,theta_rad,theta_dot_rad_s,position_steps,cart_vel_steps_s,command_speed_hz,applied_speed_hz,applied_acc,limit,fault,enabled,soft_limit,start,mode,stop_reason
0.000088,7950004,0.000000,4011,10,0.00785398,0.00000000,0,0.000,-2356.194,0.000,190000,0,0,0,0,1,balance,
0.000373,7955426,0.005422,4011,10,0.00785398,0.00000000,0,0.000,-2356.194,0.000,190000,0,0,1,0,1,balance,
0.000536,7960001,0.004575,4011,10,0.00785398,0.00000000,0,0.000,-2356.194,0.000,190000,0,0,1,0,1,balance,
0.000719,7964997,0.004996,4011,10,0.00785398,0.00000000,0,0.000,-2356.194,0.000,190000,0,0,1,0,1,balance,
0.000915,7970001,0.005004,4011,10,0.00785398,0.00000000,0,0.000,-2356.194,0.000,190000,0,0,1,0,1,balance,
0.001099,7974997,0.004996,4011,10,0.00785398,0.00000000,0,0.000,-2356.194,0.000,190000,0,0,1,0,1,balance,
0.030519,7980001,0.005004,4011,10,0.00785398,0.00000000,0,0.000,-2356.194,0.000,190000,0,0,1,0,1,balance,
0.030639,7986531,0.006530,4011,10,0.00785398,0.00000000,0,0.000,-2356.194,0.000,190000,0,0,1,0,1,balance,
0.030809,7990997,0.004466,4011,10,0.00785398,0.00000000,-1,-223.914,-2356.194,-758.670,190000,0,0,1,0,1,balance,
0.031006,7996001,0.005004,4011,10,0.00785398,0.00000000,-7,-1199.041,-2356.194,-1518.670,190000,0,0,1,0,1,balance,
0.031199,8000997,0.004996,4011,10,0.00785398,0.00000000,-18,-2201.761,-2356.194,-2356.195,190000,0,0,1,0,1,balance,
0.031390,8006001,0.005004,4011,10,0.00785398,0.00000000,-30,-2398.082,-2356.194,-2356.195,190000,0,0,1,0,1,balance,
0.061111,8010997,0.004996,4011,10,0.00785398,0.00000000,-41,-2201.761,-2356.194,-2356.195,190000,0,0,1,0,1,balance,
