pc_t_s,esp_ts_us,dt_s,encoder_count,theta_counts,theta_rad,theta_dot_rad_s,position_steps,cart_vel_steps_s,command_speed_hz,applied_speed_hz,applied_acc,limit,fault,enabled,soft_limit,start,mode,stop_reason
0.000093,8947429,0.000000,4019,18,0.01413717,0.00000000,0,0.000,-4241.150,0.000,190000,0,0,0,0,1,balance,
0.000379,8952001,0.004572,4019,18,0.01413717,0.00000000,0,0.000,-4241.150,0.000,190000,0,0,1,0,1,balance,
0.000529,8956998,0.004997,4019,18,0.01413717,0.00000000,0,0.000,-4241.150,0.000,190000,0,0,1,0,1,balance,
0.000707,8962001,0.005003,4019,18,0.01413717,0.00000000,0,0.000,-4241.150,0.000,190000,0,0,1,0,1,balance,
0.000913,8966998,0.004997,4019,18,0.01413717,0.00000000,0,0.000,-4241.150,0.000,190000,0,0,1,0,1,balance,
0.030257,8972001,0.005003,4019,18,0.01413717,0.00000000,0,0.000,-4241.150,0.000,190000,0,0,1,0,1,balance,
0.030378,8979519,0.007518,4019,18,0.01413717,0.00000000,0,0.000,-4241.150,0.000,190000,0,0,1,0,1,balance,
0.030558,8984001,0.004482,4019,18,0.01413717,0.00000000,-2,-446.229,-4241.150,-760.000,190000,0,0,1,0,1,balance,
0.030762,8988998,0.004997,4019,18,0.01413717,0.00000000,-9,-1400.841,-4241.150,-1900.000,190000,0,0,1,0,1,balance,
0.030956,8994001,0.005003,4019,18,0.01413717,0.00000000,-21,-2398.561,-4241.150,-2660.000,190000,0,0,1,0,1,balance,
0.031151,8998998,0.004997,4019,18,0.01413717,0.00000000,-37,-3201.921,-4241.150,-3800.000,190000,0,0,1,0,1,balance,
0.060709,9004001,0.005003,4019,18,0.01413717,0.00000000,-58,-4197.482,-4241.150,-4241.150,190000,0,0,1,0,1,balance,
0.060833,9009450,0.005449,4019,18,0.01413717,0.00000000,-81,-4220.958,-4241.150,-4241.150,190000,0,0,1,0,1,balance,
0.061000,9014001,0.004551,4019,18,0.01413717,0.00000000,-100,-4174.907,-4241.150,-4241.150,190000,0,0,1,0,1,balance,
0.061191,9018998,0.004997,4019,18,0.01413717,0.00000000,-122,-4402.642,-4241.150,-4241.150,190000,0,0,1,0,1,balance,
