pc_t_s,esp_ts_us,trial_idx,segment_idx,segment_t_s,cycle_idx,phase,encoder_count,theta_counts,theta_rad,position_steps,command_speed_hz,applied_speed_hz,applied_acc,limit,fault,enabled,soft_limit,start,stop_reason
0.029843,2530001,1,0,0.029843,1,move_first,0,3999,3.14080726,0,6000.000,0.000,200000,0,0,1,0,1,
0.060325,2560997,1,0,0.060325,1,move_first,0,3999,3.14080726,54,6000.000,4559.050,190000,0,0,1,0,1,
0.090844,2590997,1,0,0.090844,1,move_first,0,3999,3.14080726,228,6000.000,6000.000,190000,0,0,1,0,1,
0.121418,2620997,1,0,0.121418,1,move_first,-14,3985,3.12981168,408,6000.000,6000.000,190000,0,0,1,0,1,
0.151838,2657074,1,0,0.151838,1,move_first,-33,3966,3.11488912,625,6000.000,6000.000,190000,0,0,1,0,1,
0.183645,2682001,1,0,0.183645,1,move_first,-45,3954,3.10546434,774,6000.000,6000.000,190000,0,0,1,0,1,
0.214208,2719080,1,0,0.214208,1,move_first,-62,3937,3.09211257,997,6000.000,6000.000,190000,0,0,1,0,1,
0.244907,2744001,1,0,0.244907,1,move_first,-71,3928,3.08504399,1146,6000.000,6000.000,190000,0,0,1,0,1,
0.275378,2781074,1,0,0.275378,1,move_first,-84,3915,3.07483381,1369,6000.000,6000.000,190000,0,0,1,0,1,
0.305962,2806001,1,0,0.305962,1,move_first,-90,3909,3.07012142,1518,6000.000,6000.000,190000,0,0,1,0,1,
0.336451,2836001,1,0,0.336451,1,move_first,-96,3903,3.06540903,1698,6000.000,6000.000,190000,0,0,1,0,1,
0.366933,2866997,1,0,0.366933,1,move_first,-99,3900,3.06305284,1884,6000.000,6000.000,190000,0,0,1,0,1,
0.397443,2896997,1,0,0.397443,1,move_first,-100,3899,3.06226744,2064,6000.000,6000.000,190000,0,0,1,0,1,
0.427982,2928001,1,0,0.427982,1,move_first,-99,3900,3.06305284,2250,6000.000,6000.000,190000,0,0,1,0,1,
0.459029,2958001,1,0,0.459029,1,move_first,-94,3905,3.06697983,2430,6000.000,6000.000,190000,0,0,1,0,1,
0.490645,2988997,1,0,0.490645,1,move_first,-87,3912,3.07247762,2616,6000.000,6000.000,190000,0,0,1,0,1,
0.522099,3026080,1,0,0.522099,1,move_first,-77,3922,3.08033160,2838,6000.000,6000.000,190000,0,0,1,0,1,
0.552627,3056001,1,0,0.552627,1,move_first,-65,3934,3.08975637,3018,6000.000,6000.000,190000,0,0,1,0,1,
0.583133,3088080,1,0,0.583133,1,move_first,-53,3946,3.09918115,3210,6000.000,6000.000,190000,0,0,1,0,1,
0.613748,3112997,1,1,0.000000,1,stop_first,-41,3958,3.10860593,3360,0.000,6000.000,190000,0,0,1,0,1,
0.644284,3150160,1,1,0.030536,1,stop_first,-23,3976,3.12274310,3583,0.000,6000.000,190000,0,0,1,0,1,
0.674804,3174997,1,1,0.061056,1,stop_first,-8,3991,3.13452407,3677,0.000,1440.570,190000,0,0,1,0,1,
0.705361,3204997,1,1,0.091613,1,stop_first,21,-3980,-3.12588469,3683,0.000,0.000,190000,0,0,1,0,1,
0.735873,3236001,1,1,0.122125,1,stop_first,53,-3948,-3.10075195,3683,0.000,0.000,190000,0,0,1,0,1,
0.766931,3266001,1,1,0.153183,1,stop_first,82,-3919,-3.07797540,3683,0.000,0.000,190000,0,0,1,0,1,
0.797919,3296997,1,1,0.184170,1,stop_first,110,-3891,-3.05598425,3683,0.000,0.000,190000,0,0,1,0,1,
0.828315,3334083,1,1,0.214566,1,stop_first,140,-3861,-3.03242231,3683,0.000,0.000,190000,0,0,1,0,1,
0.858895,3358997,1,1,0.245147,1,stop_first,156,-3845,-3.01985594,3683,0.000,0.000,190000,0,0,1,0,1,
0.889447,3388997,1,1,0.275699,1,stop_first,173,-3828,-3.00650417,3683,0.000,0.000,190000,0,0,1,0,1,
0.920039,3420001,1,1,0.306291,1,stop_first,186,-3815,-2.99629399,3683,0.000,0.000,190000,0,0,1,0,1,
0.950562,3450001,1,1,0.336814,1,stop_first,194,-3807,-2.99001081,3683,0.000,0.000,190000,0,0,1,0,1,
0.981077,3480997,1,1,0.367328,1,stop_first,196,-3805,-2.98844001,3683,0.000,0.000,190000,0,0,1,0,1,
1.011645,3510997,1,1,0.397896,1,stop_first,194,-3807,-2.99001081,3683,0.000,0.000,190000,0,0,1,0,1,
1.042126,3542001,1,1,0.428378,1,stop_first,187,-3814,-2.99550860,3683,0.000,0.000,190000,0,0,1,0,1,
1.072680,3572001,1,1,0.458932,1,stop_first,176,-3825,-3.00414797,3683,0.000,0.000,190000,0,0,1,0,1,
1.103214,3602997,1,1,0.489465,1,stop_first,159,-3842,-3.01749974,3683,0.000,0.000,190000,0,0,1,0,1,
1.134895,3632997,1,2,0.000000,1,move_second,139,-3862,-3.03320771,3683,-6000.000,0.000,190000,0,0,1,0,1,
1.165343,3671079,1,2,0.030448,1,move_second,109,-3892,-3.05676965,3683,-6000.000,0.000,190000,0,0,1,0,1,
1.195880,3696001,1,2,0.060985,1,move_second,90,-3911,-3.07169222,3624,-6000.000,-4560.000,190000,0,0,1,0,1,
1.226483,3726001,1,2,0.091589,1,move_second,76,-3925,-3.08268779,3448,-6000.000,-6000.000,190000,0,0,1,0,1,
1.257215,3756997,1,2,0.122320,1,move_second,61,-3940,-3.09446876,3262,-6000.000,-6000.000,190000,0,0,1,0,1,
1.288696,3786997,1,2,0.153801,1,move_second,45,-3956,-3.10703513,3083,-6000.000,-6000.000,190000,0,0,1,0,1,
1.319166,3822997,1,2,0.184272,1,move_second,25,-3976,-3.12274310,2867,-6000.000,-6000.000,190000,0,0,1,0,1,
